hopcount;cpuusage;cputotal;numservices
5;0.0;4480000;35
4;0.0;2800;0
3;0.0;2800;0
2;999.9999999999998;2800;3
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
2;999.9999999999998;2800;3
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
2;999.9999999999998;2800;3
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
3;0.0;2800;0
2;999.9999999999998;2800;3
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
2;999.9999999999998;2800;3
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
2;999.9999999999998;2800;3
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
3;0.0;2800;0
2;999.9999999999998;2800;3
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
2;999.9999999999998;2800;3
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
2;999.9999999999998;2800;3
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
1;2766.6666666666665;2800;7
